Id,AC#,Artist,Title,Date,Medium,Dimensions,Category
2357,610455,"SNOW, John Harold Thomas","Alicante  11/25",n.d.,lithograph,"sight: 38.1 x 48.3 cm / 15"" x 19""; image: 35.6 x 45.7 cm / 14"" x 18""","work on paper"
2358,610454,"SNOW, John Harold Thomas","Lyons  24/26",n.d.,lithograph,"sight: 48.3 x 38.1 cm / 19"" x 15""; image: 44.5 x 35.6 cm / 17 1/2"" x 14""","work on paper"
2359,610453,"SNOW, John Harold Thomas","Plant Blue Bowl  22/29",n.d.,lithograph,"sight: 48.3 x 35.6 cm / 19"" x 14""; image: 45.7 x 35.6 cm / 18"" x 14""","work on paper"
2360,633130,"SNOW, Michael James Alek","Stop the Spadina Expressway. Don't Let the Future Kill You Now.",n.d.,lithograph,"sight: 7.8 x 83.2 cm / 3 1/8"" x 32 3/4""; image: 54 x 81.3 cm / 21 1/4"" x 32""","work on paper"
2361,658627,"SOMMERER, Karl","Lake Superior Blue Rock",n.d.,print,"27.3 x 34.6 cm / 10 3/4"" x 13 5/8""","work on paper"
2362,658629,"SOMMERER, Karl","Lake Superior Red Sandstone",n.d.,print,"25.4 x 35.6 cm / 10"" x 14""","work on paper"
2363,658626,"SOMMERER, Karl","Moose Rutting Season",n.d.,print,"24.8 x 34.6 cm / 9 3/4"" x 13 1/2""; frame: 41.2 x 51.6 cm / 16 1/4"" x 20 1/4""","work on paper"
2364,658628,"SOMMERER, Karl","Robertson Creek Rock",n.d.,print,"34.3 x 23.5 cm / 13 1/2"" x 9 1/4""; frame: 55 x 73.7 cm / 21 3/4"" x 29""","work on paper"
2365,100428,"SOOKRAH, Andrew Cheddie","The Road To Keane",1998,"oil on board","60 x 90.2 cm / 23 1/2"" x 35 1/2""; frame: 75 x 105.5 cm / 29 1/2"" x 41 1/2""",painting
2366,623336-01,"SOWDON, Michael","Ontario [maquette, part 1 of 2]",1979,"mixed media","24.1 x 47.9 cm / 9 1/2"" x 18 7/8""; frame: 31 x 54.5 cm / 12 1/4"" x 21 1/2""","mixed media"
2367,623336-02,"SOWDON, Michael","Ontario [maquette, part 2 of 2]",1979,"mixed media","27 x 26.4 cm / 10 5/8"" x 10 3/8""; frame: 28.5 x 28.5 cm / 11 1/4"" x 11 1/4""","mixed media"
2368,623009,"SPEAIGHT LTD.,","Elizabeth, Queen Mother",n.d.,"b/w photograph","sight: 60.5 x 45 cm / 23 3/4"" x 17 3/4"" ; frame: 64.5 x 49 cm / 25 1/2"" x 19 1/4""",photograph
2369,630154,"SPENCER, James Burton","Landscape #1 (Hamilton, 1981)",1981,"acrylic on board","106.7 x 168.9 cm / 42"" x 66 1/2""",painting
2370,632697,"SPENCER, James Burton","Mountain  25/50","c. 1975",lithograph,"41.9 x 65.4 cm / 16 1/2"" x 25 3/4""","work on paper"
2371,619700,"SPENCER, James Burton","Mountain #4, 1975-77",1974-75,"acrylic on board","548.6 x 868.7 cm / 216"" x 342""",painting
2372,692609,"SPIERS, Harry","Untitled [Humber River at Meadowvale]",n.d.,"watercolour on paper","50.8 x 61 cm / 20"" x 24""","work on paper"
